The given text as ID	The translation to your language	An brief explanation of what it means
nav_about	關於	The link to our about page
nav_server	伺服器	 The link to the server page
nav_dynmap	動態地圖	The link to our dynmap site
nav_sysmap	路線圖	Same for system map
nav_joininstructions	如何加入？	Link to our join instructions
nav_discord	Discord	Link to our discord
nav_cities	城市	Link to the cities page
nav_railways	鐵路	As well as the Railways page
		
hero_title1	我的世界鐵路	"MTR" the title you find on the start of the page
hero_title2	的巔峰之作	"At its finest" The main title you find
hero_about	關於	The button below the titles on the hero
hero_ann_title	重要公佈	The announcement that pops up
hero_ann_sub	伺服器現正關閉！伺服器可能在三月中至四月重開。	And the content of the announcement
cookies_text	我們用 Cookies 來統計，例如我們網站的流量和使用時間，以及追蹤網站中斷。此網站須要那些 cookies 來運作。	the text of the cookies
ss_title1	我們的一些	Screenshots title
ss_title2	最佳截圖	Screenshots title
ss_about	到訪我們的畫廊！	Screenshots title button
cookies_close	接受	Cookies banner
cookies_close_decl	拒絕	Cookies banner
about_title	關於	About us title
about_text1	GeoRail 是一個充滿活力的伺服器，以其著名和高質量的建築展示我的世界鐵路社群的成就而聞名。我們的社群不斷改善每個建築，其中每項細節在保證它符合我的世界鐵路伺服器能達到的最高標準而言至關重要，使 GeoRail 成為芸芸我的世界鐵路伺服器中的不二選擇。	
about_text2	作為最大和最高質量的我的世界鐵路伺服器之一， GeoRail 是眾多才華橫溢的建設者的家園，包括 Szandor13, Vitor2005, 和 BitOne。他們建造了 GeoRail 中一些最驚人和美麗的地區。我們是我的世界鐵路伺服器列表中的重要參與者， 擁有 180+ 位成員和超過 1000 次資源包下載，同時又保持高質量。	
about_text3	目前，GeoRail 伺服器的地區如 Damaia, Jachowice, 和 Pilzen - Bor 已被完善到每個細節，使它成為伺服器的最佳選擇之一！	
about_text4	GeoRail 歡迎所有人並提供一個友善和互動的社群，讓你可以發揮創意和享受自由！ 我們高興成為你的選擇之一並期待著歡迎你！	
about_text5	Geo 見！	
stats_over	超過	
stats_members	名成員	
stats_at_its_finest_since	巔峰之作自	
stats_builders	建設者	
imf_images	圖集	
imf_headline_1	我們的一些	
imf_headline_2	最佳截圖	
imf_button_visit	到訪我們的畫廊	
par_title	我們的合作夥伴	
par_small_text	*真實的公司不是真實的機構， 詳情即將在 GeoRail 公司分頁見！	Include the *
par_btn	加入名單	
ftr_arr	版權所有	
ftr_prp	私隱政策	
ftr_rul	規則	
ftr_imp	銘刻	
ftr_cnt	聯絡我們	
ftr_2_hme	主頁	
ftr_2_srv	伺服器	
ftr_2_cts	城市	
ftr_2_rws	鐵路	
ftr_3_src	來源	
ftr_3_bri	我們的品牌識別	
ftr_3_uol	使用我們的商標	
